Series,Issue,"Full Title","Variant Description",Publisher,"Release Date",Format,"Added Date",Creators
,,,,,,,"Aug 08, 2015",
,,,,,,,"Apr 10, 2014",
"'Mazing Man",1,"""Y'know, After A Long Hard Day...""",,"DC Comics","Jan 1986",Comic,"Feb 23, 2014","Bob Rozakis | Stephen DeStefano | Karl Kesel"
"'Mazing Man",2,"Easy Money / Occupations",,"DC Comics","Feb 1986",Comic,"Feb 23, 2014","Stephen DeStefano | Bob Rozakis | Karl Kesel"
"'Mazing Man",3,"Doing What Married People Do",,"DC Comics","Mar 1986",Comic,"Feb 23, 2014","Bob Rozakis | Stephen DeStefano | Karl Kesel"
"'Mazing Man",4,"The Male Machine: Parts 1 And 2",,"DC Comics","Apr 1986",Comic,"Feb 23, 2014","Bob Rozakis | Stephen DeStefano | Karl Kesel"
"'Mazing Man",5,"Writer's Block",,"DC Comics","May 1986",Comic,"Feb 23, 2014","Bob Rozakis | Pablo Marcos | Kurt Schaffenberger"
"'Mazing Man",6,"Take Me Out To The Ballgame",,"DC Comics","Jun 1986",Comic,"Feb 23, 2014","Bob Rozakis | Stephen DeStefano | Bob Smith"
"1602: Witch Hunter Angela",1A,"Secret Wars: Warzones - In Which Wicked Somethings This Way Comes","Stephanie Hans Cover","Marvel Comics","Jun 10, 2015",Comic,"Oct 03, 2015","Kieron Gillen | Marguerite Bennett | Stephanie Hans"
"1602: Witch Hunter Angela",2A,"Secret Wars: Warzones - In Which All the World's a Stage and The Guardians Overthrow the Players","Stephanie Hans Cover","Marvel Comics","Jul 29, 2015",Comic,"Oct 03, 2015","Kieron Gillen | Marguerite Bennett | Stephanie Hans"
"1602: Witch Hunter Angela",3A,"Secret Wars: Warzones - In Which Hearts Rend And Heads Roll","Stephanie Hans Regular Cover","Marvel Comics","Sep 09, 2015",Comic,"Nov 20, 2015","Kieron Gillen | Marguerite Bennett | Frazer Irving"
"1602: Witch Hunter Angela",4,"Secret Wars: Warzones - In Which A Witch Will Beget A Very Excellent Piece Of Villainy",,"Marvel Comics","Oct 07, 2015",Comic,"Nov 20, 2015","Kieron Gillen | Marguerite Bennett | Kody Chamberlain"
1872,1A,"Secret Wars - Chapter One: Tyranny In Timely","Alex Maleev Cover","Marvel Comics","Jul 08, 2015",Comic,"Dec 13, 2015","Gerry Duggan | Nik Virella"
1872,2A,"Secret Wars ",,"Marvel Comics","Jul 22, 2015",Comic,"Dec 13, 2015","Gerry Duggan | Manny Mederos | Nik Virella"
1872,3A,"Secret Wars ",,"Marvel Comics","Aug 26, 2015",Comic,"Dec 13, 2015","Gerry Duggan | Nik Virella"
1872,4A,"Secret Wars ",,"Marvel Comics","Oct 21, 2015",Comic,"Dec 13, 2015","Gerry Duggan | Nik Virella"
"2099 Alpha, Vol. 1",1A,,,"Marvel Comics","Nov 20, 2019",Comic,"Nov 23, 2019","Nicholas Spencer | Viktor Bogdanović"
"2099 Unlimited",2,"Thirty Mile Mall",,"Marvel Comics","Oct 1993",Comic,"Feb 23, 2014","Bob Fingerman | Gerard Jones | Evan Skolnick"
9-11,1,"Artists Respond",,"DC Comics","Jan 2002","Trade Paperback","Feb 23, 2014","John K. Snyder III | Alan Moore | Terry Anderson"
9-11,2,"The World's Finest Comic Book Writers And Artists Tell Stories To Remember","1st Print","DC Comics",2002,"Trade Paperback","Feb 23, 2014","Darwyn Cooke | Brian Azzarello | Paul Levitz"
"A Tale of the Batman: Gotham by Gaslight",1,"Gotham By Gaslight","First Printing","DC Comics",1989,Squarebound,"Feb 23, 2014","Robert Bloch | Brian Augustyn | Mike Mignola"
A+X,4A,"The Beast + The Amazing Spider-Man / Captain America + Quentin Quire","Regular Kaare Andrews Cover","Marvel Comics","Jan 23, 2013",Comic,"Feb 23, 2014","Jason Latour | Kaare Andrews | David López"
A+X,5A,"Iron Fist: Doop / Loki: Mister Sinister","Regular David Lafuente Cover","Marvel Comics","Mar 06, 2013",Comic,"Feb 23, 2014","Kieron Gillen | Kathryn Immonen | David LaFuente"
A+X,7A,"Iron Man + Beast / Thor + Iceman","Regular Orphans Cheeps Cover","Marvel Comics","Apr 24, 2013",Comic,"Feb 23, 2014","Christopher Yost | Zeb Wells | R'John Bernales"
A+X,8,"Spider-Woman & Kitty Pryde (& Lockheed) / Hawkeye & Deadpool",,"Marvel Comics","May 22, 2013",Comic,"Feb 23, 2014","Gerry Duggan | Christopher Hastings | Reilly Brown"
A+X,9,"Captain America + Wolverine / Dr. Strange + Quentin Quire, Pixie And Eye-Boy",,"Marvel Comics","Jun 19, 2013",Comic,"Feb 23, 2014","David Lapham | Nathan Edmondson | Humberto Ramos"
A+X,10,"Black Widow Fantomex / Scarlet Witch Domino",,"Marvel Comics","Jul 17, 2013",Comic,"Feb 23, 2014","Adam Warren | B. Clay Moore | Kris Anka"
A+X,11,"Thor + Magik / Superior Spider-Man + Cyclops",,"Marvel Comics","Aug 28, 2013",Comic,"Feb 23, 2014","Jim Krueger | Mike Benson | Mark Texeira"
A+X,12,"Wonder Man + The Beat / Captailn America + Jubilee",,"Marvel Comics","Sep 25, 2013",Comic,"Feb 23, 2014","Christos N. Gage | Justin Jordan | Angel Unzueta"
A+X,13,"Captain America + Cyclops / Black Widow + Emma Frost",,"Marvel Comics","Oct 16, 2013",Comic,"Feb 23, 2014","Howard Chaykin | Gerry Duggan | David Yardin"
A+X,14,,,"Marvel Comics","Nov 20, 2013",Comic,"Feb 23, 2014","Gerry Duggan | Max Bemis | David Yardin"
A+X,15,"Doctor Strange +the Beast / Captain America + Cyclops",,"Marvel Comics","Dec 11, 2013",Comic,"Feb 23, 2014","Jai Nitz | Gerry Duggan | Greg Smallwood"
A+X,16,"The Amazing Spider-Man + Psylocke / Captain America + Cyclops",,"Marvel Comics","Jan 08, 2014",Comic,"Feb 23, 2014","Gerry Duggan | Sean Ryan | Goran Parlov"
A+X,17,"Iron Man + Broo / Captain America + Cyclops",,"Marvel Comics","Feb 19, 2014",Comic,"Mar 22, 2014","Gerry Duggan | Jeff Loveness | Paco Diaz"
A+X,18,,,"Marvel Comics","Mar 26, 2014",Comic,"Apr 10, 2014","Jim Krueger | Gerry Duggan | Will Sliney"
